DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
5/4/23,22:47:22,TRD,1671897725,BOT +100 MCB @18.96,,,"-1,896.00","98,298.04"
5/4/23,22:51:48,TRD,1671906135,BOT +100 NRDY @2.94,,,-294.00,"98,004.04"
5/4/23,22:52:47,TRD,1671897774,SOLD -100 MCB @19.70,-0.03,,"1,970.00","99,974.01"
5/4/23,22:56:12,TRD,1671906161,SOLD -100 NRDY @2.92,-0.01,,292.00,"100,266.00"
5/4/23,22:56:30,TRD,1671913770,BOT +100 ACGN @2.53,,,-253.00,"100,013.00"
5/4/23,22:58:19,TRD,1671916763,BOT +100 WAL @18.05,,,"-1,805.00","98,208.00"
5/4/23,22:59:07,TRD,1671916790,"BOT +1,000 ASNS @5.88",,,"-5,880.00","92,328.00"
5/4/23,23:00:47,TRD,1671919771,"BOT +1,000 PACW @3.02",,,"-3,020.00","89,308.00"
5/4/23,23:01:07,TRD,1671919780,"SOLD -1,000 PACW @3.07",-0.05,,"3,070.00","92,377.95"
5/4/23,23:02:29,TRD,1671922834,"BOT +1,000 PACW @3.11",,,"-3,110.00","89,267.95"
5/4/23,23:03:12,TRD,1671913777,SOLD -100 ACGN @2.52,-0.01,,252.00,"89,519.94"
5/4/23,23:05:14,TRD,1671926529,BOT +100 ZION @20.99,,,"-2,099.00","87,420.94"
5/4/23,23:06:09,TRD,1671916796,"SOLD -1,000 ASNS @6.28",-0.11,,"6,280.00","93,700.83"
5/4/23,23:06:51,TRD,1671922843,"SOLD -1,000 PACW @3.18",-0.05,,"3,180.00","96,880.78"
5/4/23,23:12:24,TRD,1671939436,"BOT +1,000 GFAI @7.77",,,"-7,770.00","89,110.78"
5/4/23,23:14:10,TRD,1671926537,SOLD -100 ZION @20.98,-0.04,,"2,098.00","91,208.74"
5/4/23,23:15:07,TRD,1671942692,"BOT +1,000 MINM @3.75",,,"-3,750.00","87,458.74"
5/4/23,23:15:30,TRD,1671945201,"SOLD -1,000 MINM @3.65",-0.06,,"3,650.00","91,108.68"
5/4/23,23:15:30,TRD,1671939448,"SOLD -1,000 GFAI @7.65",-0.13,,"7,650.00","98,758.55"
5/4/23,23:16:04,TRD,1671945252,"BOT +1,000 ASNS @8.19",,,"-8,190.00","90,568.55"
5/4/23,23:24:55,TRD,1671955769,"BOT +1,000 HCDI @6.18",,,"-6,180.00","84,388.55"
5/4/23,23:26:14,TRD,1671955780,"SOLD -1,000 HCDI @6.17",-0.10,,"6,170.00","90,558.45"
5/4/23,23:26:16,TRD,1671945274,"SOLD -1,000 ASNS @7.50",-0.13,,"7,500.00","98,058.32"
5/4/23,23:27:00,TRD,1671958257,"BOT +1,000 HCDI @6.17",,,"-6,170.00","91,888.32"
5/4/23,23:36:13,TRD,1671969720,"BOT +1,000 GFAI @7.68",,,"-7,680.00","84,208.32"
5/4/23,23:36:33,TRD,1671958272,"SOLD -1,000 HCDI @6.22",-0.11,,"6,220.00","90,428.21"
5/4/23,23:37:35,TRD,1671969741,"SOLD -1,000 GFAI @7.78",-0.13,,"7,780.00","98,208.08"
5/4/23,23:38:41,TRD,1671916764,SOLD -100 WAL @19.42,-0.03,,"1,942.00","100,150.05"
5/4/23,23:41:23,TRD,1671975422,"BOT +1,000 HCDI @6.25",,,"-6,250.00","93,900.05"
5/4/23,23:44:01,TRD,1671975430,"SOLD -1,000 HCDI @6.24",-0.11,,"6,240.00","100,139.94"
5/4/23,23:55:35,TRD,1671990660,"BOT +1,000 SNTG @3.72",,,"-3,720.00","96,419.94"
5/4/23,23:57:11,TRD,1671992535,BOT +100 CUEN @4.71,,,-471.00,"95,948.94"
5/5/23,00:06:09,TRD,1672000578,"BOT +10,000 EQ @.5651",,,"-5,651.00","90,297.94"
5/5/23,00:13:23,TRD,1672009204,BOT +100 MGIH @1.92,,,-192.00,"90,105.94"
5/5/23,00:18:04,TRD,1672014109,"BOT +1,000 TQQQ @26.63",,,"-26,630.00","63,475.94"
5/5/23,00:23:33,TRD,1672018473,BOT +100 LICN @2.54,,,-254.00,"63,221.94"
5/5/23,00:33:35,TRD,1672030317,BOT +100 TOP @35.84,,,"-3,584.00","59,637.94"
5/5/23,00:35:39,TRD,1672030338,SOLD -100 TOP @37.76,-0.06,,"3,776.00","63,413.88"
5/5/23,00:36:48,TRD,1672032342,"BOT +1,000 USDP @1.79",,,"-1,790.00","61,623.88"
5/5/23,00:39:13,TRD,1672034925,"BOT +1,000 AMTX @1.61",,,"-1,610.00","60,013.88"
5/5/23,00:41:17,TRD,1672034969,"SOLD -1,000 TQQQ @26.71",-0.45,,"26,710.00","86,723.43"
5/5/23,00:42:13,TRD,1672018488,SOLD -100 LICN @2.46,-0.01,,246.00,"86,969.42"
